dataset,feature,length,model_size,auc
Wikipedia (en),Loss,0,160m,0.5189904999999999
Wikipedia (en),Loss,100,160m,0.503315
Wikipedia (en),Loss,200,160m,0.5009645
Wikipedia (en),Loss,300,160m,0.5170025000000001
Wikipedia (en),Loss,400,160m,0.5349195
Wikipedia (en),Loss,500,160m,0.5000975
Wikipedia (en),Loss,600,160m,0.513969
Wikipedia (en),Loss,700,160m,0.5131880000000001
Wikipedia (en),Loss,800,160m,0.515672
Wikipedia (en),Loss,900,160m,0.5182589999999999
Wikipedia (en),Loss,0,410m,0.5144455
Wikipedia (en),Loss,100,410m,0.5081235
Wikipedia (en),Loss,200,410m,0.5034434999999999
Wikipedia (en),Loss,300,410m,0.5115544999999999
Wikipedia (en),Loss,400,410m,0.5358219999999999
Wikipedia (en),Loss,500,410m,0.500747
Wikipedia (en),Loss,600,410m,0.5094720000000001
Wikipedia (en),Loss,700,410m,0.5073475000000001
Wikipedia (en),Loss,800,410m,0.5037575
Wikipedia (en),Loss,900,410m,0.5130640000000001
Wikipedia (en),Loss,0,1b,0.512289
Wikipedia (en),Loss,100,1b,0.509755
Wikipedia (en),Loss,200,1b,0.5081785
Wikipedia (en),Loss,300,1b,0.5117205
Wikipedia (en),Loss,400,1b,0.5429655
Wikipedia (en),Loss,500,1b,0.502876
Wikipedia (en),Loss,600,1b,0.513274
Wikipedia (en),Loss,700,1b,0.5004215000000001
Wikipedia (en),Loss,800,1b,0.501058
Wikipedia (en),Loss,900,1b,0.5072034999999999
Wikipedia (en),Loss,0,2.8b,0.5088755
Wikipedia (en),Loss,100,2.8b,0.5175095000000001
Wikipedia (en),Loss,200,2.8b,0.5200995
Wikipedia (en),Loss,300,2.8b,0.5018605
Wikipedia (en),Loss,400,2.8b,0.556006
Wikipedia (en),Loss,500,2.8b,0.5162615
Wikipedia (en),Loss,600,2.8b,0.5271005
Wikipedia (en),Loss,700,2.8b,0.513355
Wikipedia (en),Loss,800,2.8b,0.5161975
Wikipedia (en),Loss,900,2.8b,0.5097815000000001
Wikipedia (en),Loss,0,6.9b,0.5061985
Wikipedia (en),Loss,100,6.9b,0.5137700000000001
Wikipedia (en),Loss,200,6.9b,0.5211920000000001
Wikipedia (en),Loss,300,6.9b,0.506089
Wikipedia (en),Loss,400,6.9b,0.5533669999999999
